Temperature,PH
0.40321982146264723,0.4880360721442898
0.48141472827123866,0.46709418837678385
0.1346981616165892,0.8052304609218552
0.4719392082441023,0.4329659318637269
0.6576885562223012,0.4763527054108536
0.1473224698373672,0.79388777555112
0.10702964313734231,0.7496192384770097
0.5822925722524959,0.315090180360734
0.8761211594325822,0.22935871743487724
0.5591431479400368,0.5693987975952126
0.11853014143041918,0.8399453452359751
0.8798530565509615,0.4431062124248797
0.0838865569653664,0.8495390781563188
0.7794125442632642,0.31084168336676044
0.8560622124212782,0.21254509018038448
0.9211663238692984,0.24230460921846486
0.07110886574481845,0.8133013853794893
0.9856206853725948,0.1318580017177453
0.45170152567108146,0.4041883767535239
0.5010363435889822,0.5337693568956468
0.6482130361951579,0.37756847027390705
0.8847220160725975,0.3777955911823767
0.6847156548843312,0.49476953907815613
0.10950278555512494,0.7791949115622643
0.6665518118784601,0.4619238476954237
0.9251606200038143,0.19549098196392123
0.08367613070121926,0.9720641282565268
0.287239456330441,0.7806012024048314
0.6700796208731756,0.5026252505010333
0.11026589766968886,0.8025851703406914
0.6006313479357912,0.4194388777555105
0.09501759928754883,0.8966332665330938
0.10775852929327145,0.9705702313718803
0.22280592014588452,0.7834468937876196
0.19717828290324757,0.5509471116145477
0.40954655329615575,0.4319038076152424
0.13910063399843264,0.8303607214428936
0.12711774559487887,0.8636673346693939
0.8705233137550095,0.22933867735469704
0.10563018171794902,0.7693587174348977
0.19516655711287,0.7702004008016203
0.4161065286995611,0.5882565130260602
0.3175902758635296,0.7998396793587403
0.3905372023493967,0.5981763527054653
0.025423549118980038,0.9367935871743782
0.04798986450669429,1.0
0.8988040966052411,0.22593186372746743
0.5268097580628033,0.4820641282565461
0.5519709081656472,0.4149899799599197
0.12134496723988208,0.8894789579158626
0.6119728165221276,0.5546893787575513
0.07338425817942751,0.9144689378757604
0.20108511269905116,0.5597595190380744
0.10478467377706102,0.8881963927855807
0.1342025190305567,0.9468537074148742
0.706553084116109,0.46531062124253
0.8444291893725726,0.2871142284569572
